NL,CONTLOC,ETIQ,INS,OPR,FNT,MOD,COD,ERR,BLOQUE
1,0000,COPY,START,0H,,,,,0
2,0000,FIRST,STL,RETADR,3,Simple,172012,,0
3,0003,CLOOP,JSUB,RDREC,3,Simple,4B2006,,0
4,0006,,COMP,#0,3,Inmediato,290000,,0
5,0009,,LDA,LENGTH,3,Simple,032003,,0
6,0000,,USE,CDATA,,,,,1
7,0000,RETADR,RESW,1,,,,,1
8,0003,LENGTH,RESW,1,,,,,1
9,0000,,USE,CBLKS,,,,,2
10,0000,BUFFER,RESB,4096,,,,,2
11,1000,BUFFEND,EQU,*,,,,,2
12,1000,MAXLEN,EQU,BUFFEND-BUFFER,,,,,2
13,000C,,USE,,,,,,0
14,000C,RDREC,CLEAR,X,2,,B410,,0
15,000E,,+LDT,#MAXLEN,4,Inmediato,75101000,,0
16,0006,,USE,CDATA,,,,,1
17,0006,INPUT,BYTE,X'F1',,,F1,,1
18,0012,,USE,,,,,,0
19,0012,,LDT,LENGTH,3,Simple,772003,,0
20,0015,,END,FIRST,,,,,0
