NL,CONTLOC,ETIQ,INS,OPR,FNT,MOD,COD,ERR,BLOQUE
1,03E8,COPY,START,1000,,,,,0
2,03E8,FIRST,+JSUB,RDREC,4,Simple,4B70FFFF, | P2: Símbolo no encontrado en TABSIM: 'RDREC',0
3,03EC,,LDA,#3,3,Inmediato,010003,,0
4,03EF,,COMP,LENGTH,3,Simple,2B200F,,0
5,03F2,,JEQ,@ENDFIL,3,Indirecto,322006,,0
6,03F5,,STA,"BUFFER,X",3,Indexado,0FA00C,,0
7,03F8,,RSUB,,3,,4F0000,,0
8,03FB,ENDFIL,LDA,EOF,3,Simple,032000,,0
9,03FE,EOF,BYTE,C'EOF',,,454F46,,0
10,0401,LENGTH,WORD,3,,,000003,,0
11,0404,BUFFER,RESW,10,,,,,0
12,0422,,END,FIRST,,,,,0
